,RM,LSTAT,CRIM,ZN,INDUS,CHAS,NOX,AGE,DIS,RAD,TAX,PTRATIO,B,Prices
463,6.405,10.63,0.22876,0.0,8.56,0.0,0.52,85.4,2.7147,5.0,384.0,20.9,70.8,18.6
464,6.226,10.15,0.19657,22.0,5.86,0.0,0.431,79.2,8.0555,7.0,330.0,19.1,376.14,20.5
465,5.012,12.12,1.12658,0.0,19.58,1.0,0.871,88.0,1.6102,5.0,403.0,14.7,343.28,15.3
466,5.682,10.21,0.17142,0.0,6.91,0.0,0.448,33.8,5.1004,3.0,233.0,17.9,396.9,19.3
467,4.926,29.53,2.36862,0.0,19.58,0.0,0.871,95.7,1.4608,5.0,403.0,14.7,391.71,14.6
468,6.982,4.86,0.1,34.0,6.09,0.0,0.433,17.7,5.4917,7.0,329.0,16.1,390.43,33.1
469,5.468,26.42,4.0974,0.0,19.58,0.0,0.871,100.0,1.4118,5.0,403.0,14.7,396.9,15.6
470,5.399,30.81,0.25387,0.0,6.91,0.0,0.448,95.3,5.87,3.0,233.0,17.9,396.9,14.4
471,5.304,24.91,15.0234,0.0,18.1,0.0,0.614,97.3,2.1007,24.0,666.0,20.2,349.48,12.0
472,6.417,8.81,0.04684,0.0,3.41,0.0,0.489,66.1,3.0923,2.0,270.0,17.8,392.18,22.6
473,5.747,19.92,7.67202,0.0,18.1,0.0,0.693,98.9,1.6334,24.0,666.0,20.2,393.1,8.5
474,5.404,13.28,1.49632,0.0,19.58,0.0,0.871,100.0,1.5916,5.0,403.0,14.7,341.6,19.6
475,4.906,34.77,11.1081,0.0,18.1,0.0,0.668,100.0,1.1742,24.0,666.0,20.2,396.9,13.8
476,6.417,19.31,7.52601,0.0,18.1,0.0,0.713,98.3,2.185,24.0,666.0,20.2,304.21,13.0
477,5.88,12.03,2.3139,0.0,19.58,0.0,0.605,97.3,2.3887,5.0,403.0,14.7,348.13,19.1
478,6.431,5.08,0.19186,0.0,7.38,0.0,0.493,14.7,5.4159,5.0,287.0,19.6,393.68,24.6
479,5.961,17.93,0.09299,0.0,25.65,0.0,0.581,92.9,2.0869,2.0,188.0,19.1,378.09,20.5
480,6.003,21.32,4.42228,0.0,18.1,0.0,0.584,94.5,2.5403,24.0,666.0,20.2,331.29,19.1
481,5.705,11.5,0.25356,0.0,9.9,0.0,0.544,77.7,3.945,4.0,304.0,18.4,396.42,16.2
482,6.849,7.53,0.04932,33.0,2.18,0.0,0.472,70.3,3.1827,7.0,222.0,18.4,396.9,28.2
483,6.174,24.16,0.2909,0.0,21.89,0.0,0.624,93.6,1.6119,4.0,437.0,21.2,388.08,14.0
484,6.211,7.44,0.15936,0.0,6.91,0.0,0.448,6.5,5.7209,3.0,233.0,17.9,394.46,24.7
485,5.859,9.64,0.08447,0.0,4.05,0.0,0.51,68.7,2.7019,5.0,296.0,16.6,393.23,22.6
486,7.327,11.25,0.82526,20.0,3.97,0.0,0.647,94.5,2.0788,5.0,264.0,13.0,393.42,31.0
487,5.627,22.88,9.39063,0.0,18.1,0.0,0.74,93.9,1.8172,24.0,666.0,20.2,396.9,12.8
488,6.393,5.19,0.12757,30.0,4.93,0.0,0.428,7.8,7.0355,6.0,300.0,16.6,374.71,23.7
489,6.312,10.58,3.67367,0.0,18.1,0.0,0.583,51.9,3.9917,24.0,666.0,20.2,388.62,21.2
490,6.065,5.52,0.09164,0.0,10.81,0.0,0.413,7.8,5.2873,4.0,305.0,19.2,390.91,22.8
491,6.655,17.73,5.44114,0.0,18.1,0.0,0.713,98.2,2.3552,24.0,666.0,20.2,355.29,15.2
492,5.762,10.42,2.81838,0.0,18.1,0.0,0.532,40.3,4.0983,24.0,666.0,20.2,392.92,21.8
493,6.064,14.66,0.13587,0.0,10.59,1.0,0.489,59.1,4.2392,4.0,277.0,18.6,381.32,24.4
494,6.376,14.65,3.69311,0.0,18.1,0.0,0.713,88.4,2.5671,24.0,666.0,20.2,391.43,17.7
495,6.015,12.86,0.05188,0.0,4.49,0.0,0.449,45.1,4.4272,3.0,247.0,18.5,395.99,22.5
496,5.708,11.74,0.28392,0.0,7.38,0.0,0.493,74.3,4.7211,5.0,287.0,19.6,391.13,18.5
497,6.433,9.52,0.16439,22.0,5.86,0.0,0.431,49.1,7.8265,7.0,330.0,19.1,374.71,24.5
498,5.905,11.45,4.83567,0.0,18.1,0.0,0.583,53.2,3.1523,24.0,666.0,20.2,388.22,20.6
499,6.209,13.22,7.83932,0.0,18.1,0.0,0.655,65.4,2.9634,24.0,666.0,20.2,396.9,21.4
500,7.645,3.01,0.06129,20.0,3.33,1.0,0.4429,49.7,5.2119,5.0,216.0,14.9,377.07,46.0
501,6.382,10.36,0.40202,0.0,9.9,0.0,0.544,67.2,3.5325,4.0,304.0,18.4,395.21,23.1
502,5.891,10.87,0.13642,0.0,10.59,0.0,0.489,22.3,3.9454,4.0,277.0,18.6,396.9,22.6
503,5.834,8.47,0.62739,0.0,8.14,0.0,0.538,56.5,4.4986,4.0,307.0,21.0,395.62,19.9
504,5.67,17.6,0.17899,0.0,9.69,0.0,0.585,28.8,2.7986,6.0,391.0,19.2,393.29,23.1
505,6.223,21.78,17.8667,0.0,18.1,0.0,0.671,100.0,1.3861,24.0,666.0,20.2,393.74,10.2
